pacbio_expts,SRAStudy,Sample,BioSample,SampleName,illumina_expts
SRX1808982;SRX1808983;SRX1808984;SRX1808985;SRX1808986;SRX1808987;SRX1808988;SRX1808989;SRX1808990;SRX1808991;SRX1808992;SRX1808993;SRX1808994;SRX1808995;SRX1808996;SRX1808997;SRX1808998;SRX1808999;SRX1809000;SRX1809001;SRX1809002;SRX1809003;SRX1809004;SRX1809005,SRP068953,SRS1265149,SAMN04169050,AK1,SRX1806519
SRX2340567;SRX2340569;SRX2340571;SRX2340572;SRX2340575;SRX2340599;SRX2340601;SRX2340605;SRX2340608;SRX2340619;SRX2340620;SRX2340631;SRX2340638;SRX2340644;SRX2340665;SRX2340688;SRX2340709;SRX2340712;SRX2340715;SRX2340724,SRP091981,SRS1757302,SAMN05919702,0.5 uM T3 treated HCT116,SRX2340573;SRX2340655;SRX2340683;SRX2340711
SRX2340701;SRX2340730;SRX2340592;SRX2340594;SRX2340600;SRX2340583;SRX2340586;SRX2340630;SRX2340634;SRX2340625;SRX2340621;SRX2340659;SRX2340661;SRX2340664;SRX2340666;SRX2340647;SRX2340678;SRX2340686;SRX2340690;SRX2340697,SRP091981,SRS1757305,SAMN05919699,Untreated HCT116,SRX2340602;SRX2340670;SRX2340692;SRX2340717
SRX2340726;SRX2340728;SRX2340700;SRX2340719;SRX2340677;SRX2340656;SRX2340736;SRX2340643;SRX2340636;SRX2340632;SRX2340628;SRX2340629;SRX2340624;SRX2340610;SRX2340612;SRX2340595;SRX2340598;SRX2340590;SRX2340576;SRX2340580,SRP091981,SRS1757322,SAMN05919704,5 uM T3 treated HCT116,SRX2340588;SRX2340633;SRX2340640;SRX2340675
SRX3198551;SRX3198550;SRX3198549;SRX3198548;SRX3198547;SRX3198546;SRX3198545;SRX3198544;SRX3198543;SRX3198542;SRX3198541;SRX3198540;SRX3198539;SRX3198538;SRX3198537;SRX3198536;SRX3198535;SRX3198534;SRX3198533;SRX3198532;SRX3198531;SRX3198530;SRX3198529;SRX3198528;SRX3198527;SRX3198526;SRX3198525,SRP098984,SRS2506642,SAMN07611993,human_iPS,SRX3176972
SRX457720,SRP036136,SRS000090,SAMN00801888,NA12878,SRX457730
SRX877676;SRX877677;SRX877678;SRX877679;SRX877680;SRX877681,SRP049776,SRS743833,SAMN03177381,lifeTech AM6050,SRX3207157;SRX3207158;SRX3207159;SRX3207160;SRX3207161;SRX3207162;SRX3207163;SRX766499;SRX766501;SRX766503;SRX766505;SRX877428;SRX877429;SRX877430;SRX877431;SRX877432;SRX877433;SRX877434
